,time,application,angry,disgust,fear,happy,sad,surprise
0,2022_07_23_13_56_27,Electron,0.07,0.0,0.14,0.0,0.71,0.07
1,2022_07_23_13_56_28,Electron,0.04,0.0,0.66,0.05,0.2,0.05
2,2022_07_23_13_56_28,Electron,0.02,0.0,0.04,0.45,0.48,0.0
3,2022_07_23_13_56_28,Electron,0.05,0.0,0.09,0.6,0.06,0.2
4,2022_07_23_13_56_29,Electron,0.21,0.0,0.24,0.21,0.17,0.17
5,2022_07_23_13_56_29,Electron,0.08,0.0,0.14,0.41,0.08,0.28
6,2022_07_23_13_56_29,Electron,0.14,0.0,0.16,0.36,0.27,0.07
7,2022_07_23_13_56_30,Electron,0.23,0.0,0.05,0.27,0.45,0.0
8,2022_07_23_13_56_30,Electron,0.26,0.0,0.09,0.21,0.43,0.0
9,2022_07_23_13_56_30,Electron,0.15,0.0,0.06,0.27,0.52,0.0
10,2022_07_23_13_56_31,Electron,0.12,0.0,0.07,0.2,0.59,0.01
11,2022_07_23_13_56_31,Electron,0.06,0.0,0.06,0.33,0.54,0.01
12,2022_07_23_13_56_31,Electron,0.04,0.0,0.05,0.56,0.34,0.01
13,2022_07_23_13_56_32,Electron,0.08,0.0,0.12,0.42,0.28,0.1
14,2022_07_23_13_56_33,Electron,0.07,0.0,0.14,0.25,0.16,0.39
15,2022_07_23_13_56_33,Electron,0.03,0.0,0.11,0.49,0.32,0.05
16,2022_07_23_13_56_33,Electron,0.02,0.0,0.01,0.72,0.23,0.01
17,2022_07_23_13_56_34,Electron,0.03,0.0,0.05,0.56,0.32,0.03
18,2022_07_23_13_56_34,Electron,0.05,0.0,0.04,0.61,0.26,0.04
19,2022_07_23_13_56_34,Electron,0.06,0.0,0.06,0.62,0.22,0.04
20,2022_07_23_13_56_35,Electron,0.02,0.0,0.01,0.77,0.17,0.02
21,2022_07_23_13_56_35,Electron,0.03,0.0,0.03,0.6,0.33,0.01
22,2022_07_23_13_56_35,Electron,0.02,0.0,0.02,0.8,0.14,0.02
23,2022_07_23_13_56_36,Electron,0.04,0.0,0.01,0.88,0.05,0.01
24,2022_07_23_13_56_36,Electron,0.06,0.0,0.02,0.78,0.15,0.0
25,2022_07_23_13_56_36,Electron,0.01,0.0,0.01,0.74,0.23,0.0
26,2022_07_23_13_56_37,Electron,0.08,0.0,0.06,0.56,0.22,0.08
27,2022_07_23_13_56_37,Electron,0.04,0.0,0.03,0.74,0.13,0.07
28,2022_07_23_13_56_37,Electron,0.07,0.0,0.04,0.52,0.24,0.12
29,2022_07_23_13_56_38,Electron,0.17,0.0,0.08,0.25,0.42,0.08
30,2022_07_23_13_56_38,Electron,0.08,0.0,0.06,0.62,0.2,0.03
31,2022_07_23_13_56_38,Electron,0.11,0.0,0.13,0.3,0.13,0.33
32,2022_07_23_13_56_39,Electron,0.04,0.0,0.15,0.09,0.04,0.69
33,2022_07_23_13_56_39,Electron,0.01,0.0,0.11,0.03,0.01,0.83
34,2022_07_23_13_56_39,Electron,0.08,0.0,0.21,0.12,0.1,0.48
35,2022_07_23_13_56_39,Electron,0.06,0.0,0.05,0.67,0.08,0.14
36,2022_07_23_13_56_40,Electron,0.09,0.0,0.11,0.41,0.17,0.22
37,2022_07_23_13_56_40,Electron,0.11,0.0,0.05,0.5,0.27,0.07
38,2022_07_23_13_56_40,Electron,0.21,0.0,0.17,0.21,0.3,0.11
39,2022_07_23_13_56_41,Electron,0.1,0.0,0.09,0.63,0.15,0.03
40,2022_07_23_13_56_41,Electron,0.12,0.0,0.07,0.52,0.2,0.09
41,2022_07_23_13_56_41,Electron,0.37,0.0,0.15,0.28,0.17,0.02
42,2022_07_23_13_56_42,Electron,0.56,0.0,0.07,0.24,0.13,0.0
43,2022_07_23_13_56_42,Electron,0.36,0.0,0.36,0.1,0.18,0.0
44,2022_07_23_13_56_42,Electron,0.2,0.0,0.31,0.32,0.08,0.09
45,2022_07_23_13_56_43,Electron,0.13,0.0,0.13,0.59,0.12,0.03
46,2022_07_23_13_56_44,Electron,0.07,0.0,0.04,0.64,0.21,0.04
47,2022_07_23_13_56_44,Electron,0.06,0.0,0.05,0.59,0.28,0.02
48,2022_07_23_13_56_44,Electron,0.07,0.0,0.07,0.56,0.26,0.04
49,2022_07_23_13_56_45,Electron,0.06,0.0,0.06,0.55,0.27,0.05
50,2022_07_23_13_56_45,Electron,0.04,0.0,0.06,0.63,0.26,0.01
51,2022_07_23_13_56_45,Electron,0.05,0.0,0.05,0.55,0.31,0.03
52,2022_07_23_13_56_46,Electron,0.03,0.0,0.03,0.84,0.09,0.01
53,2022_07_23_13_56_46,Electron,0.04,0.0,0.05,0.68,0.12,0.11
54,2022_07_23_13_56_46,Electron,0.05,0.0,0.08,0.53,0.13,0.21
55,2022_07_23_13_56_47,Electron,0.08,0.0,0.12,0.35,0.22,0.24
56,2022_07_23_13_56_47,Electron,0.07,0.0,0.07,0.64,0.13,0.1
57,2022_07_23_13_56_47,Electron,0.04,0.0,0.04,0.66,0.11,0.15
58,2022_07_23_13_56_48,Electron,0.04,0.0,0.04,0.67,0.08,0.18
59,2022_07_23_13_56_48,Electron,0.02,0.0,0.01,0.84,0.06,0.06
60,2022_07_23_13_56_48,Electron,0.04,0.0,0.09,0.48,0.09,0.32
61,2022_07_23_13_56_49,Electron,0.46,0.0,0.09,0.25,0.18,0.02
62,2022_07_23_13_56_49,Electron,0.12,0.0,0.0,0.38,0.5,0.0
63,2022_07_23_13_56_49,Electron,0.0,0.0,0.0,0.92,0.05,0.03
64,2022_07_23_13_56_49,Electron,0.0,0.0,0.0,1.0,0.0,0.0
65,2022_07_23_13_56_50,Electron,0.0,0.0,0.0,0.99,0.0,0.01
66,2022_07_23_13_56_50,Electron,0.0,0.0,0.0,1.0,0.0,0.0
67,2022_07_23_13_56_50,Electron,0.21,0.0,0.06,0.09,0.64,0.0
68,2022_07_23_13_56_51,Terminal,0.14,0.0,0.07,0.07,0.69,0.03
69,2022_07_23_13_56_51,Terminal,0.14,0.0,0.07,0.07,0.71,0.0
70,2022_07_23_13_56_51,Terminal,0.18,0.0,0.0,0.47,0.35,0.0
71,2022_07_23_13_56_52,Code,0.0,0.0,0.0,1.0,0.0,0.0
72,2022_07_23_13_56_52,Code,0.0,0.0,0.0,1.0,0.0,0.0
73,2022_07_23_13_56_53,Code,0.01,0.0,0.0,0.97,0.01,0.01
74,2022_07_23_13_56_53,Code,0.0,0.0,0.0,0.99,0.0,0.01
75,2022_07_23_13_56_53,Code,0.0,0.0,0.0,0.99,0.01,0.0
76,2022_07_23_13_56_54,Code,0.01,0.0,0.0,0.97,0.01,0.0
77,2022_07_23_13_56_54,Terminal,0.01,0.0,0.0,0.98,0.0,0.01
78,2022_07_23_13_56_54,Terminal,0.04,0.0,0.04,0.76,0.12,0.04
79,2022_07_23_13_56_54,Terminal,0.06,0.0,0.06,0.65,0.18,0.06
80,2022_07_23_13_56_55,Terminal,0.2,0.0,0.3,0.1,0.4,0.0
81,2022_07_23_13_56_55,Terminal,0.25,0.0,0.0,0.5,0.25,0.0
82,2022_07_23_13_56_55,Terminal,0.2,0.0,0.4,0.0,0.4,0.0
83,2022_07_23_13_56_56,Microsoft Edge,0.06,0.0,0.0,0.81,0.06,0.06
84,2022_07_23_13_56_57,Microsoft Edge,0.09,0.0,0.09,0.55,0.23,0.05
85,2022_07_23_13_56_57,Microsoft Edge,0.04,0.0,0.03,0.12,0.8,0.0
86,2022_07_23_13_56_59,Microsoft Edge,0.04,0.0,0.04,0.82,0.08,0.03
87,2022_07_23_13_56_59,Microsoft Edge,0.11,0.0,0.19,0.0,0.56,0.15
88,2022_07_23_13_57_00,Microsoft Edge,0.19,0.0,0.21,0.02,0.55,0.02
89,2022_07_23_13_57_00,Microsoft Edge,0.0,0.0,0.0,0.97,0.03,0.0
90,2022_07_23_13_57_00,Microsoft Edge,0.24,0.0,0.18,0.12,0.47,0.0
91,2022_07_23_13_57_00,Microsoft Edge,0.18,0.0,0.18,0.27,0.36,0.0
92,2022_07_23_13_57_01,Microsoft Edge,0.3,0.0,0.21,0.21,0.27,0.0
93,2022_07_23_13_57_01,Microsoft Edge,0.22,0.0,0.22,0.0,0.56,0.0
94,2022_07_23_15_57_32,Terminal,0.0,0.0,0.0,0.97,0.03,0.0
95,2022_07_23_15_57_44,Electron,0.0,0.0,0.33,0.0,0.67,0.0
96,2022_07_23_15_57_44,Electron,0.0,0.0,0.5,0.0,0.38,0.12
97,2022_07_23_15_57_45,Electron,0.0,0.0,0.65,0.0,0.26,0.09
98,2022_07_23_15_57_45,Electron,0.05,0.0,0.15,0.0,0.8,0.0
99,2022_07_23_15_57_45,Electron,0.0,0.0,0.4,0.0,0.6,0.0
100,2022_07_23_15_57_46,Electron,0.08,0.0,0.62,0.0,0.27,0.03
101,2022_07_23_15_57_46,Terminal,0.07,0.0,0.32,0.0,0.56,0.05
102,2022_07_23_15_57_46,Terminal,0.1,0.0,0.16,0.0,0.68,0.05
103,2022_07_23_15_57_47,Terminal,0.06,0.0,0.28,0.0,0.57,0.07
104,2022_07_23_15_57_47,Terminal,0.16,0.0,0.16,0.0,0.65,0.03
105,2022_07_23_15_57_47,Electron,0.17,0.0,0.28,0.0,0.51,0.03
106,2022_07_23_15_57_48,Electron,0.27,0.0,0.09,0.0,0.55,0.09
107,2022_07_23_15_57_48,Electron,0.07,0.0,0.1,0.0,0.83,0.0
108,2022_07_23_15_57_48,Electron,0.12,0.0,0.25,0.0,0.38,0.25
109,2022_07_23_15_57_49,Electron,0.15,0.0,0.08,0.0,0.77,0.0
110,2022_07_23_15_57_49,Electron,0.73,0.18,0.0,0.0,0.09,0.0
111,2022_07_23_15_57_49,Electron,0.64,0.02,0.02,0.0,0.33,0.0
112,2022_07_23_15_57_50,Electron,0.77,0.0,0.01,0.0,0.2,0.01
113,2022_07_23_15_57_50,Electron,0.97,0.0,0.0,0.0,0.03,0.0
114,2022_07_23_15_57_50,Electron,0.84,0.01,0.01,0.0,0.13,0.01
115,2022_07_23_15_57_51,Electron,0.8,0.0,0.01,0.0,0.18,0.01
116,2022_07_23_15_57_51,Electron,0.83,0.0,0.01,0.0,0.15,0.01
117,2022_07_23_15_57_51,Electron,0.74,0.01,0.01,0.0,0.24,0.0
118,2022_07_23_15_57_51,Electron,0.7,0.0,0.01,0.0,0.28,0.0
119,2022_07_23_15_57_52,Electron,0.48,0.0,0.01,0.0,0.5,0.01
120,2022_07_23_15_57_52,Electron,0.46,0.0,0.03,0.0,0.49,0.01
121,2022_07_23_15_57_52,Electron,0.78,0.0,0.01,0.0,0.2,0.01
122,2022_07_23_15_57_53,Electron,0.84,0.0,0.01,0.0,0.15,0.0
123,2022_07_23_15_57_53,Electron,0.87,0.02,0.02,0.0,0.09,0.0
124,2022_07_23_15_57_53,Electron,0.87,0.05,0.01,0.0,0.06,0.0
125,2022_07_23_15_57_54,Electron,0.87,0.02,0.03,0.0,0.08,0.0
126,2022_07_23_15_57_54,Electron,0.93,0.0,0.01,0.0,0.06,0.0
127,2022_07_23_15_57_54,Electron,0.77,0.01,0.06,0.0,0.13,0.02
128,2022_07_23_15_57_55,Electron,0.81,0.01,0.04,0.0,0.13,0.01
129,2022_07_23_15_57_55,Electron,0.87,0.03,0.02,0.0,0.07,0.01
130,2022_07_23_15_57_55,Electron,0.85,0.02,0.02,0.0,0.11,0.0
131,2022_07_23_15_57_55,Electron,0.87,0.03,0.02,0.0,0.08,0.0
132,2022_07_23_15_57_56,Electron,0.82,0.02,0.03,0.0,0.13,0.0
133,2022_07_23_15_57_56,Electron,0.61,0.08,0.07,0.0,0.22,0.01
134,2022_07_23_15_57_56,Electron,0.66,0.08,0.07,0.0,0.18,0.01
135,2022_07_23_15_57_57,Electron,0.56,0.11,0.1,0.0,0.22,0.0
136,2022_07_23_15_57_57,Electron,0.68,0.11,0.08,0.0,0.12,0.01
137,2022_07_23_15_57_57,Electron,0.71,0.07,0.08,0.0,0.12,0.01
138,2022_07_23_15_57_58,Electron,0.7,0.04,0.11,0.0,0.15,0.01
139,2022_07_23_15_57_58,Electron,0.61,0.03,0.06,0.16,0.1,0.03
140,2022_07_23_15_57_58,Electron,0.01,0.0,0.18,0.01,0.0,0.8
141,2022_07_23_15_57_59,Electron,0.04,0.0,0.47,0.02,0.11,0.36
142,2022_07_23_15_57_59,Electron,0.05,0.01,0.08,0.6,0.23,0.04
143,2022_07_23_15_57_59,Electron,0.07,0.0,0.04,0.52,0.37,0.0
144,2022_07_23_15_58_00,Electron,0.08,0.0,0.09,0.62,0.22,0.0
145,2022_07_23_15_58_00,Electron,0.15,0.0,0.08,0.31,0.46,0.0
146,2022_07_23_15_58_00,Electron,0.08,0.0,0.08,0.25,0.5,0.08
147,2022_07_23_15_58_01,Electron,0.0,0.0,0.33,0.0,0.67,0.0
148,2022_07_23_15_58_01,Electron,0.17,0.0,0.17,0.0,0.33,0.33
149,2022_07_23_15_58_01,Electron,0.06,0.0,0.18,0.0,0.71,0.06
150,2022_07_23_15_58_02,Electron,0.06,0.0,0.24,0.03,0.52,0.15
151,2022_07_23_15_58_02,Electron,0.0,0.0,0.0,0.0,1.0,0.0
152,2022_07_23_15_58_02,Electron,0.0,0.0,0.17,0.0,0.33,0.5
153,2022_07_23_15_58_03,Electron,0.05,0.0,0.14,0.0,0.64,0.18
154,2022_07_23_15_58_03,Electron,0.05,0.0,0.24,0.0,0.46,0.24
155,2022_07_23_15_58_03,Electron,0.0,0.0,0.0,0.0,0.5,0.5
156,2022_07_23_15_58_04,Electron,0.0,0.0,0.33,0.0,0.33,0.33
157,2022_07_23_15_58_04,Electron,0.0,0.0,0.25,0.0,0.25,0.5
158,2022_07_23_15_58_04,Electron,0.0,0.0,0.33,0.0,0.33,0.33
159,2022_07_23_15_58_05,Electron,0.0,0.0,0.25,0.0,0.25,0.5
160,2022_07_23_15_58_05,Electron,0.0,0.0,0.2,0.0,0.6,0.2
161,2022_07_23_15_58_05,Electron,0.0,0.0,0.33,0.0,0.67,0.0
162,2022_07_23_15_58_05,Electron,0.0,0.0,0.0,0.0,1.0,0.0
163,2022_07_23_15_58_06,Electron,0.0,0.0,0.0,0.0,1.0,0.0
164,2022_07_23_15_58_06,Electron,0.0,0.0,0.0,0.0,1.0,0.0
165,2022_07_23_15_58_06,Electron,0.1,0.0,0.2,0.0,0.6,0.1
166,2022_07_23_15_58_07,Electron,0.11,0.0,0.23,0.02,0.3,0.34
167,2022_07_23_15_58_07,Electron,0.1,0.0,0.18,0.02,0.42,0.27
168,2022_07_23_15_58_07,Electron,0.08,0.0,0.33,0.0,0.38,0.21
169,2022_07_23_15_58_08,Terminal,0.11,0.0,0.22,0.0,0.56,0.11
170,2022_07_23_15_58_08,Terminal,0.14,0.0,0.28,0.0,0.28,0.28
171,2022_07_23_15_58_08,Terminal,0.19,0.0,0.31,0.03,0.31,0.17
172,2022_07_23_15_58_09,Terminal,0.07,0.0,0.38,0.0,0.35,0.2
173,2022_07_23_15_58_09,Terminal,0.08,0.0,0.52,0.0,0.36,0.04
174,2022_07_23_15_58_09,Terminal,0.09,0.0,0.27,0.09,0.36,0.18
175,2022_07_23_15_58_10,Terminal,0.1,0.0,0.5,0.0,0.3,0.1
176,2022_07_23_15_58_10,Terminal,0.11,0.0,0.33,0.0,0.5,0.06
177,2022_07_23_15_58_10,Terminal,0.09,0.0,0.42,0.0,0.42,0.07
178,2022_07_23_15_58_11,Terminal,0.14,0.0,0.36,0.0,0.45,0.05
179,2022_07_23_15_58_11,Terminal,0.11,0.0,0.21,0.0,0.54,0.14
180,2022_07_23_15_58_11,Terminal,0.25,0.0,0.17,0.0,0.42,0.17
181,2022_07_23_15_58_12,Terminal,0.12,0.0,0.23,0.04,0.42,0.19
182,2022_07_23_15_58_12,Terminal,0.09,0.0,0.18,0.0,0.68,0.06
183,2022_07_23_15_58_12,Terminal,0.05,0.0,0.38,0.0,0.46,0.11
184,2022_07_23_15_58_12,Terminal,0.13,0.0,0.17,0.0,0.66,0.04
185,2022_07_23_15_58_13,Terminal,0.15,0.0,0.18,0.02,0.56,0.1
186,2022_07_23_15_58_13,Terminal,0.12,0.0,0.12,0.0,0.73,0.04
187,2022_07_23_15_58_13,Finder,0.08,0.0,0.08,0.08,0.67,0.08
188,2022_07_23_15_58_14,Finder,0.3,0.0,0.1,0.1,0.4,0.1
189,2022_07_23_15_58_14,Finder,0.02,0.0,0.15,0.53,0.26,0.04
190,2022_07_23_15_58_14,Finder,0.16,0.0,0.12,0.08,0.56,0.08
191,2022_07_23_15_58_15,Terminal,0.14,0.0,0.33,0.03,0.28,0.2
192,2022_07_23_15_58_15,Terminal,0.11,0.0,0.41,0.02,0.36,0.09
193,2022_07_23_15_58_15,Terminal,0.04,0.0,0.64,0.0,0.18,0.15
194,2022_07_23_15_58_15,Terminal,0.03,0.0,0.84,0.0,0.13,0.0
195,2022_07_23_15_58_16,Terminal,0.0,0.0,0.89,0.0,0.08,0.03
196,2022_07_23_15_58_16,Terminal,0.01,0.0,0.89,0.0,0.05,0.05
197,2022_07_23_15_58_16,Terminal,0.05,0.0,0.73,0.0,0.2,0.02
198,2022_07_23_15_58_17,Terminal,0.03,0.0,0.76,0.0,0.17,0.03
199,2022_07_23_15_58_17,Terminal,0.04,0.0,0.79,0.0,0.12,0.06
200,2022_07_23_15_58_18,Terminal,0.14,0.0,0.08,0.0,0.71,0.08
201,2022_07_23_15_58_18,Terminal,0.33,0.0,0.14,0.02,0.41,0.1
202,2022_07_23_15_58_18,Terminal,0.34,0.0,0.15,0.02,0.46,0.02
203,2022_07_23_15_58_19,Terminal,0.34,0.0,0.16,0.03,0.47,0.0
204,2022_07_23_15_58_19,Terminal,0.14,0.0,0.45,0.0,0.34,0.07
205,2022_07_23_15_58_19,Terminal,0.2,0.0,0.23,0.0,0.47,0.1
206,2022_07_23_15_58_19,Terminal,0.13,0.0,0.27,0.01,0.49,0.1
207,2022_07_23_15_58_20,Terminal,0.18,0.0,0.32,0.01,0.45,0.04
208,2022_07_23_15_58_20,Finder,0.21,0.0,0.28,0.03,0.41,0.08
209,2022_07_23_15_58_20,Finder,0.15,0.0,0.23,0.0,0.57,0.04
210,2022_07_23_15_58_21,Finder,0.2,0.0,0.36,0.04,0.28,0.12
211,2022_07_23_15_58_21,Finder,0.02,0.0,0.18,0.15,0.63,0.01
212,2022_07_23_15_58_21,Finder,0.04,0.0,0.4,0.24,0.28,0.05
213,2022_07_23_15_58_22,Finder,0.1,0.0,0.41,0.0,0.33,0.16
214,2022_07_23_15_58_22,Finder,0.12,0.0,0.33,0.02,0.45,0.08
215,2022_07_23_15_58_22,Finder,0.17,0.0,0.31,0.0,0.44,0.07
216,2022_07_23_15_58_23,Finder,0.03,0.0,0.31,0.0,0.59,0.06
217,2022_07_23_15_58_23,Finder,0.11,0.0,0.38,0.0,0.42,0.09
218,2022_07_23_15_58_23,Finder,0.12,0.0,0.37,0.0,0.24,0.27
219,2022_07_23_15_58_23,Finder,0.22,0.0,0.17,0.0,0.35,0.26
220,2022_07_23_15_58_24,Finder,0.15,0.0,0.22,0.0,0.32,0.32
221,2022_07_23_15_58_24,Finder,0.15,0.0,0.33,0.0,0.33,0.2
222,2022_07_23_15_59_25,Electron,0.0,0.0,0.25,0.0,0.75,0.0
223,2022_07_23_15_59_26,Electron,0.06,0.0,0.51,0.0,0.09,0.34
224,2022_07_23_15_59_26,Electron,0.04,0.0,0.36,0.0,0.14,0.45
225,2022_07_23_15_59_26,Terminal,0.04,0.0,0.44,0.0,0.04,0.48
226,2022_07_23_15_59_27,Terminal,0.13,0.0,0.03,0.59,0.25,0.0
227,2022_07_23_15_59_27,Terminal,0.12,0.0,0.59,0.0,0.18,0.12
228,2022_07_23_15_59_27,Terminal,0.08,0.0,0.57,0.02,0.07,0.25
229,2022_07_23_15_59_28,Terminal,0.12,0.0,0.22,0.0,0.5,0.16
230,2022_07_23_15_59_28,Terminal,0.12,0.0,0.41,0.0,0.22,0.24
231,2022_07_23_15_59_28,Terminal,0.12,0.0,0.42,0.0,0.38,0.08
232,2022_07_23_15_59_29,Terminal,0.13,0.0,0.26,0.0,0.54,0.08
233,2022_07_23_15_59_29,Terminal,0.08,0.0,0.49,0.0,0.21,0.23
234,2022_07_23_15_59_29,Terminal,0.04,0.0,0.5,0.0,0.12,0.35
235,2022_07_23_15_59_30,Terminal,0.08,0.0,0.54,0.0,0.23,0.15
236,2022_07_23_15_59_30,Terminal,0.05,0.0,0.36,0.0,0.26,0.33
237,2022_07_23_15_59_30,Terminal,0.06,0.0,0.44,0.0,0.25,0.25
238,2022_07_23_15_59_30,Terminal,0.08,0.0,0.33,0.0,0.25,0.33
239,2022_07_23_15_59_31,Terminal,0.07,0.0,0.38,0.0,0.31,0.24
240,2022_07_23_15_59_31,Terminal,0.11,0.0,0.33,0.0,0.44,0.11
241,2022_07_23_15_59_31,Terminal,0.06,0.0,0.33,0.0,0.5,0.11
242,2022_07_23_15_59_32,Terminal,0.05,0.0,0.53,0.0,0.28,0.15
243,2022_07_23_15_59_32,Terminal,0.08,0.0,0.5,0.0,0.25,0.17
244,2022_07_23_15_59_32,Terminal,0.14,0.0,0.28,0.0,0.28,0.28
245,2022_07_23_15_59_33,Terminal,0.17,0.0,0.33,0.0,0.33,0.17
246,2022_07_23_15_59_33,Terminal,0.14,0.0,0.14,0.0,0.71,0.0
247,2022_07_23_15_59_33,Terminal,0.0,0.0,0.33,0.0,0.67,0.0
248,2022_07_23_15_59_34,Terminal,0.11,0.0,0.22,0.0,0.56,0.11
249,2022_07_23_15_59_34,Terminal,0.08,0.0,0.2,0.04,0.56,0.12
250,2022_07_23_15_59_34,Terminal,0.0,0.0,0.14,0.28,0.28,0.28
251,2022_07_23_15_59_35,Terminal,0.07,0.0,0.2,0.22,0.17,0.35
252,2022_07_23_15_59_35,Terminal,0.1,0.0,0.23,0.06,0.52,0.1
253,2022_07_23_15_59_35,Terminal,0.14,0.0,0.14,0.0,0.56,0.14
254,2022_07_23_15_59_36,Terminal,0.11,0.0,0.22,0.0,0.56,0.11
255,2022_07_23_15_59_36,Terminal,0.04,0.0,0.12,0.36,0.28,0.2
256,2022_07_23_15_59_36,Terminal,0.07,0.0,0.13,0.13,0.4,0.27
257,2022_07_23_15_59_36,Code,0.04,0.0,0.07,0.6,0.18,0.11
258,2022_07_23_15_59_37,Code,0.0,0.0,0.04,0.7,0.13,0.13
259,2022_07_23_15_59_37,Code,0.04,0.0,0.0,0.91,0.01,0.04
260,2022_07_23_15_59_38,Code,0.0,0.0,0.0,1.0,0.0,0.0
261,2022_07_23_15_59_38,Code,0.02,0.0,0.04,0.84,0.05,0.04
262,2022_07_23_15_59_38,Code,0.0,0.0,0.0,0.96,0.02,0.02
263,2022_07_23_15_59_39,Code,0.01,0.0,0.04,0.68,0.2,0.06
264,2022_07_23_15_59_39,Code,0.01,0.01,0.02,0.63,0.26,0.07
265,2022_07_23_15_59_39,Code,0.01,0.0,0.03,0.77,0.14,0.05
266,2022_07_23_15_59_40,Code,0.02,0.0,0.06,0.23,0.66,0.02
267,2022_07_23_15_59_40,Code,0.04,0.0,0.04,0.5,0.41,0.02
268,2022_07_23_15_59_41,Code,0.35,0.0,0.07,0.07,0.4,0.11
269,2022_07_23_15_59_42,Code,0.5,0.0,0.04,0.05,0.34,0.07
270,2022_07_23_15_59_44,Code,0.09,0.0,0.18,0.36,0.18,0.18
271,2022_07_23_15_59_44,Code,0.08,0.0,0.43,0.17,0.06,0.26
272,2022_07_23_15_59_44,Code,0.04,0.0,0.38,0.15,0.14,0.28
273,2022_07_23_15_59_45,Code,0.09,0.0,0.22,0.14,0.31,0.23
274,2022_07_23_15_59_45,Code,0.16,0.0,0.3,0.13,0.34,0.07
275,2022_07_23_15_59_45,Code,0.1,0.0,0.37,0.25,0.14,0.14
276,2022_07_23_15_59_46,Code,0.2,0.0,0.32,0.1,0.26,0.12
277,2022_07_23_15_59_46,Code,0.2,0.02,0.26,0.11,0.28,0.13
278,2022_07_23_15_59_46,Code,0.2,0.0,0.3,0.09,0.23,0.18
279,2022_07_23_15_59_47,Code,0.21,0.0,0.21,0.06,0.38,0.15
280,2022_07_23_15_59_47,Code,0.38,0.0,0.13,0.04,0.38,0.07
281,2022_07_23_15_59_48,Code,0.27,0.0,0.05,0.0,0.68,0.0
282,2022_07_23_15_59_48,Code,0.26,0.0,0.11,0.05,0.57,0.0
283,2022_07_23_15_59_49,Code,0.13,0.0,0.23,0.01,0.54,0.09
284,2022_07_23_15_59_49,Code,0.11,0.0,0.41,0.05,0.2,0.23
285,2022_07_23_15_59_50,Code,0.08,0.0,0.24,0.06,0.31,0.3
286,2022_07_23_15_59_50,Code,0.11,0.0,0.25,0.09,0.35,0.2
287,2022_07_23_15_59_51,Code,0.07,0.0,0.27,0.05,0.39,0.22
288,2022_07_23_15_59_51,Code,0.08,0.0,0.15,0.02,0.69,0.06
289,2022_07_23_15_59_51,Code,0.04,0.0,0.1,0.0,0.85,0.01
290,2022_07_23_15_59_52,Code,0.02,0.0,0.2,0.0,0.74,0.04
291,2022_07_23_15_59_52,Code,0.08,0.0,0.28,0.06,0.4,0.16
292,2022_07_23_15_59_52,Code,0.06,0.0,0.06,0.0,0.89,0.0
293,2022_07_23_15_59_53,Code,0.08,0.0,0.38,0.05,0.28,0.21
294,2022_07_23_15_59_53,Code,0.09,0.0,0.26,0.01,0.53,0.1
295,2022_07_23_15_59_53,Code,0.12,0.0,0.32,0.05,0.41,0.1
296,2022_07_23_15_59_54,Code,0.08,0.0,0.45,0.01,0.41,0.05
297,2022_07_23_15_59_54,Code,0.1,0.0,0.3,0.02,0.48,0.1
298,2022_07_23_15_59_54,Code,0.12,0.0,0.48,0.02,0.28,0.08
299,2022_07_23_15_59_55,Code,0.18,0.0,0.05,0.41,0.36,0.0
300,2022_07_23_15_59_57,Code,0.09,0.0,0.28,0.16,0.28,0.21
301,2022_07_23_15_59_57,Code,0.23,0.0,0.21,0.04,0.48,0.04
302,2022_07_23_15_59_58,Code,0.15,0.0,0.18,0.03,0.62,0.03
303,2022_07_23_15_59_58,Code,0.14,0.0,0.21,0.1,0.48,0.07
304,2022_07_23_15_59_58,Code,0.12,0.0,0.09,0.15,0.59,0.06
305,2022_07_23_15_59_58,Code,0.09,0.0,0.14,0.06,0.69,0.03
306,2022_07_23_15_59_59,Code,0.12,0.0,0.09,0.16,0.56,0.06
307,2022_07_23_15_59_59,Code,0.16,0.0,0.12,0.08,0.6,0.04
308,2022_07_23_15_59_59,Code,0.24,0.0,0.19,0.1,0.38,0.1
309,2022_07_23_16_00_00,Code,0.2,0.0,0.2,0.09,0.43,0.09
310,2022_07_23_16_00_00,Code,0.08,0.0,0.1,0.28,0.32,0.22
311,2022_07_23_16_00_00,Code,0.07,0.0,0.08,0.49,0.28,0.09
312,2022_07_23_16_00_03,Code,0.56,0.0,0.08,0.06,0.27,0.04
313,2022_07_23_16_01_07,Electron,0.36,0.07,0.04,0.0,0.54,0.0
314,2022_07_23_16_01_07,Electron,0.0,0.0,0.0,0.0,1.0,0.0
315,2022_07_23_16_01_08,Electron,0.1,0.0,0.3,0.0,0.5,0.1
316,2022_07_23_16_01_08,Terminal,0.11,0.0,0.22,0.0,0.5,0.17
317,2022_07_23_16_01_08,Terminal,0.12,0.0,0.3,0.02,0.35,0.2
318,2022_07_23_16_01_09,Terminal,0.1,0.0,0.28,0.0,0.19,0.43
319,2022_07_23_16_01_09,Terminal,0.11,0.0,0.22,0.0,0.33,0.33
320,2022_07_23_16_01_09,Terminal,0.17,0.0,0.33,0.17,0.17,0.17
321,2022_07_23_16_01_10,Terminal,0.0,0.0,0.0,0.0,0.0,0.0
322,2022_07_23_16_01_10,Terminal,0.0,0.0,0.33,0.0,0.67,0.0
