,time,application,angry,disgust,fear,happy,sad,surprise
1409,2022_07_23_16_56_05,Electron,0.0,0.0,0.0,0.0,1.0,0.0
1410,2022_07_23_16_56_06,Electron,0.0,0.0,0.0,0.0,1.0,0.0
1411,2022_07_23_16_56_06,Electron,0.25,0.0,0.25,0.0,0.5,0.0
1412,2022_07_23_16_56_07,Electron,0.25,0.0,0.25,0.0,0.5,0.0
1413,2022_07_23_16_56_07,Electron,0.0,0.0,0.0,0.0,1.0,0.0
1414,2022_07_23_16_56_07,Electron,0.5,0.0,0.0,0.0,0.5,0.0
1415,2022_07_23_16_56_08,Electron,0.18,0.0,0.18,0.09,0.55,0.0
1416,2022_07_23_16_56_08,Electron,0.0,0.0,0.0,0.0,1.0,0.0
1417,2022_07_23_16_56_08,Electron,0.0,0.0,0.0,0.0,1.0,0.0
1418,2022_07_23_16_56_09,Electron,0.0,0.0,0.0,0.0,1.0,0.0
1419,2022_07_23_16_56_09,Electron,0.33,0.0,0.33,0.0,0.33,0.0
1420,2022_07_23_16_56_09,Electron,0.25,0.0,0.25,0.25,0.25,0.0
1421,2022_07_23_16_56_10,Electron,0.0,0.0,0.0,0.0,1.0,0.0
1422,2022_07_23_16_56_10,Electron,0.33,0.0,0.17,0.0,0.5,0.0
1423,2022_07_23_16_56_10,Electron,0.33,0.0,0.0,0.0,0.67,0.0
1424,2022_07_23_16_56_11,Electron,0.33,0.0,0.0,0.0,0.67,0.0
1425,2022_07_23_16_56_11,Electron,0.24,0.0,0.03,0.0,0.73,0.0
1426,2022_07_23_16_56_11,Electron,0.46,0.0,0.08,0.08,0.38,0.0
1427,2022_07_23_16_56_12,Electron,0.5,0.0,0.18,0.02,0.25,0.05
1428,2022_07_23_16_56_12,Electron,0.57,0.0,0.06,0.0,0.33,0.03
1429,2022_07_23_16_56_13,Electron,0.69,0.0,0.05,0.0,0.21,0.04
1430,2022_07_23_16_56_13,Electron,0.32,0.0,0.1,0.0,0.53,0.05
1431,2022_07_23_16_56_13,Electron,0.36,0.0,0.12,0.0,0.5,0.01
1432,2022_07_23_16_56_14,Electron,0.39,0.0,0.09,0.0,0.52,0.01
1433,2022_07_23_16_56_14,Electron,0.78,0.0,0.03,0.0,0.19,0.0
1434,2022_07_23_16_56_14,Electron,0.56,0.0,0.04,0.0,0.38,0.01
1435,2022_07_23_16_56_15,Electron,0.76,0.0,0.1,0.0,0.12,0.01
1436,2022_07_23_16_56_15,Electron,0.65,0.0,0.05,0.0,0.28,0.01
1437,2022_07_23_16_56_16,Electron,0.74,0.0,0.05,0.01,0.14,0.06
1438,2022_07_23_16_56_16,Electron,0.54,0.0,0.08,0.08,0.31,0.0
1439,2022_07_23_16_56_16,Electron,0.33,0.0,0.11,0.0,0.56,0.0
1440,2022_07_23_16_56_17,Electron,0.38,0.0,0.12,0.0,0.5,0.0
1441,2022_07_23_16_56_17,Electron,0.43,0.0,0.1,0.05,0.38,0.05
1442,2022_07_23_16_56_17,Terminal,0.5,0.0,0.08,0.08,0.33,0.0
1443,2022_07_23_16_56_18,Terminal,0.59,0.0,0.06,0.06,0.24,0.06
1444,2022_07_23_16_56_18,Code,0.25,0.0,0.0,0.0,0.75,0.0
1445,2022_07_23_16_56_19,Code,0.23,0.0,0.16,0.03,0.19,0.39
1446,2022_07_23_16_56_19,Code,0.21,0.0,0.14,0.03,0.31,0.31
1447,2022_07_23_16_56_19,Code,0.37,0.0,0.2,0.03,0.2,0.2
1448,2022_07_23_16_56_20,Code,0.25,0.0,0.19,0.0,0.5,0.06
1449,2022_07_23_16_56_20,Code,0.52,0.0,0.14,0.0,0.24,0.1
1450,2022_07_23_16_56_20,Code,0.32,0.0,0.21,0.06,0.26,0.15
1451,2022_07_23_16_56_21,Code,0.28,0.0,0.21,0.0,0.5,0.0
